Item,Description,Needed,Ordered,Why more/less?,Unit Price ($),Total Price ($),URL
ST STM32F042K6T6,MCU,1,1,-,1.80$,1.80$,https://www.lcsc.com/product-detail/C69216.html
SEMTECH RCLAMP0502BATCT,CC and DATA lines esd,2,0,I have 3 left from other project,-,-,https://www.lcsc.com/product-detail/C117553.html
Littelfuse SMA6L5.0A,VBUS line esd,1,1,-,0.79$,0.79$,https://www.lcsc.com/product-detail/C1974860.html
MICROCHIP MCP1726-3302E/SN,3.3V LDO,1,1,-,2.22$,2.22$,https://www.lcsc.com/product-detail/C635928.html
muRata GRM188Z71C475KE21D,4.7uF capacitor,1,0,I have 9 left from other project,-,-,https://www.lcsc.com/product-detail/C389010.html
Walsin 0603B105J100CT,1uF capacitor,2,2,-,0.03$,0.06$,https://www.lcsc.com/product-detail/C3841036.html
VISHAY VJ0603Y104JXQCW1BC,100nF decap capacitor,4,5,sold in increments of 5,0.08$,0.40$,https://www.lcsc.com/product-detail/C3834925.html
SAMWHA CS1608X7R225K100NRB,2.2uF capacitor,2,0,I have 98 left from other project,-,-,https://www.lcsc.com/product-detail/C516003.html
BOURNS CR0603-FX-5101ELF,5.1kOhm 0.1w CC resistor,2,0,I have 8 left from other project,-,-,https://www.lcsc.com/product-detail/C2076779.html
VISHAY CRCW060310K0DHEAP,10kOhm pull-up/down resistor,2,0,I have 3 left from other project,-,-,https://www.lcsc.com/product-detail/C3917708.html
SHOU HAN TS6643TP 250gf 009,BOOT and NRST button,2,0,I have 48 left from other project,-,-,https://www.lcsc.com/product-detail/C5342967.html
SHOU HAN TYPE-C 16PIN 2MD(073),USB-C plug,1,0,I have 19 left from other project,-,-,https://www.lcsc.com/product-detail/C2765186.html
PCB,PCB,1,5,5 is minimal order amount,-,7$+1.5$ delivery,https://jlcpcb.com/
